name,purpose,input,output,writes_to,called_by,test_cmd,success_if,timestamp
sagco-state,Write_node_status_to_shared_state_mesh,CASE_NODE_STATUS_NOTE,sagco_ish/shared_state/cases/CASE.json,sagco_ish/shared_state/cases/;sagco_ish/shared_state/logs/state_updates.csv,run-alpha;every_brick,cat sagco_ish/shared_state/cases/C1602_CASE_001.json,last_node_field_present_in_JSON,2026-06-04T23:47:00Z
sagco-wafer,ERU_variance_check_expected_vs_actual_numeric,CASE_EXPECTED_ACTUAL_LABEL,sagco_ish/wafer/logs/wafer_eru.csv,sagco_ish/wafer/logs/,run-alpha,tail -1 sagco_ish/wafer/logs/wafer_eru.csv,WAFER_GREEN_or_WAFER_VARIANCE_ALERT_in_last_row,2026-06-04T23:47:00Z
sagco-hallucheck,Term_overlap_hallucination_detector_score_0-100_pct,CASE_TRUTH_FILE_ACTUAL_FILE_LABEL,sagco_ish/hallucheck/logs/hallucheck_eru.csv,sagco_ish/hallucheck/logs/,run-alpha;sagco-redact;sagco-portfolio-generate,tail -1 sagco_ish/hallucheck/logs/hallucheck_eru.csv,GREEN_or_HALLUCINATION_RISK_score_in_last_row,2026-06-04T23:47:00Z
sagco-redact,Strip_PII_EIN_SSN_phone_email_log_per_pattern_count_SHA256_pre_post,CASE_INPUT_FILE_OUTPUT_FILE_LABEL,sagco_ish/public/site/index_redacted.html,sagco_ish/redact/logs/redact_audit.csv;sagco_ish/governance/logs/governance_register.csv,sagco-public-build,cat sagco_ish/redact/logs/redact_audit.csv,REDACT_CLEAN_or_REDACT_PII_REMOVED_in_log_SHA256_in_governance,2026-06-04T23:47:00Z
sagco-public-build,Generate_7-section_HTML_proof_page_from_live_state_auto_redact,CASE,sagco_ish/public/site/index.html;sagco_ish/public/site/index_redacted.html,sagco_ish/public/site/,sagco-pages-pack;run-alpha,ls -la sagco_ish/public/site/,index.html_and_index_redacted.html_both_present,2026-06-04T23:47:00Z
sagco-fleet-eru,Parse_Kubernetes_daemon_telemetry_compute_ERU_per_metric_detect_panics,CASE_LOG_FILE_DAEMON_FILTER,sagco_ish/fleet/logs/fleet_eru.csv;sagco_ish/fleet/logs/fleet_report.txt,sagco_ish/fleet/logs/,run-alpha_or_manual,cat sagco_ish/fleet/logs/fleet_report.txt,FLEET_ERU_GREEN_or_ALERT_score_in_report,2026-06-04T23:47:00Z
sagco-claims-report,Score_each_claim_PROVEN_PARTIAL_UNPROVEN_via_evidence_checks,optional_CLAIM_ID_filter,sagco_ish/claims/logs/claims_report.csv,sagco_ish/claims/logs/,run-alpha_or_manual,sagco_ish/claims/bin/sagco-claims-report,PROVEN_PARTIAL_UNPROVEN_lines_present_SAGCO_CLAIMS_REPORT_COMPLETE,2026-06-04T23:47:00Z
sagco-commandments,Self_verifying_constitution_10_commandments_each_checks_own_evidence,optional_CASE,sagco_ish/constitution/logs/constitution_report.md,sagco_ish/constitution/logs/,run-alpha_or_manual,sagco_ish/constitution/bin/sagco-commandments,10/10_UPHELD_CONSTITUTION_EXEMPLARY,2026-06-04T23:47:00Z
sagco-antibody,Archive_FAIL_LEARN_PATCH_VERIFY_cycle_permanently,AB_ID_FAILURE_ROOT_CAUSE_PATCH_VERIFICATION,sagco_ish/antibody/data/antibody_archive.csv,sagco_ish/antibody/data/,manual_or_any_brick_on_failure,sagco_ish/antibody/bin/sagco-antibody-search --list,ANTIBODY_ARCHIVED_in_output_archive_count_increases,2026-06-04T23:47:00Z
sagco-portal-start,Launch_client_portal_router_8_service_routes_with_keyword_aliases,optional_PORT_default_8080,http://localhost:8080,sagco_ish/webportal/index.html_served_via_nginx_or_python,manual,curl -s http://localhost:8080 | grep SAGCO,SAGCO_OS_Client_Command_Portal_in_response,2026-06-04T23:47:00Z
sagco-midi,Sonify_runtime_logs_to_MIDI_OPCODE_aware_Red_Blue_Purple_key,daemon_log_file,sagco_ish/midi/output/*.csv;sagco_ish/midi/output/*.mid,sagco_ish/midi/logs/midi_eru.csv,sagco-run-alpha,sagco_ish/midi/bin/sagco-midi sagco_ish/fleet/data/sagco_daemon_telemetry_2026-06-03.log test_run,SAGCO_MIDI_GENERATED,2026-06-04T23:55:56Z
sagco-bibliography,Export_all_bricks_prior_art_inventions_as_bibliography_md_for_SNHU_capstone,CASE,sagco_ish/bibliography/exports/bibliography.md,sagco_ish/bibliography/logs/bibliography_eru.csv,manual;sagco-run-alpha,sagco_ish/bibliography/bin/sagco-bibliography C1602_CASE_001,SAGCO_BIBLIOGRAPHY_COMPLETE,2026-06-04T23:55:56Z
sagco-eru-benchmark,Red_Blue_Purple_SAGCO_system_comparison_ERU_expected_vs_actual,CASE,sagco_ish/eru/logs/eru_benchmark_report.md,sagco_ish/eru/logs/eru_benchmark.csv,sagco-run-alpha,sagco_ish/eru/bin/sagco-eru-benchmark C1602_CASE_001,SAGCO_ERU_BENCHMARK_COMPLETE,2026-06-04T23:55:56Z
