case,file,line,signal,text,timestamp
C1602_CASE_001,sagco_ish/pdf_forensics/reports/pdf_forensic_report.txt,1,INGEST_SIGNAL,SAGCO PDF FORENSIC REPORT,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/reports/pdf_forensic_report.txt,12,ERU_SIGNAL,ERU_STATUS=GREEN,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/reports/pdf_forensic_report.txt,14,INGEST_SIGNAL,PDF,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/reports/SF0068_2022_Enrolled_alt_tokens.csv,1,INGEST_SIGNAL,TOKEN_TYPE VALUE SOURCE_PDF PAGE_RANGE SHA256_SHORT,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/reports/SF0068_2022_Enrolled_alt_forensic.txt,1,INGEST_SIGNAL,SAGCO PDF FORENSIC EXTRACT REPORT,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/reports/SF0068_2022_Enrolled_alt_forensic.txt,13,ERU_SIGNAL,ERU_STATUS=GREEN,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/reports/SF0068_2022_Enrolled_alt_forensic.txt,29,INGEST_SIGNAL,PDF → PDFTOTEXT → CIRCUIT_TAGS → FR_NUMBERS → PIC_NUMBERS,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/bin/sagco-pdfscan,2,INGEST_SIGNAL,# SAGCO PDF FORENSIC EXTRACTOR v2,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/bin/sagco-pdfscan,6,INGEST_SIGNAL,PDF= $1 ,2026-06-04T20:33:48Z
C1602_CASE_001,sagco_ish/pdf_forensics/bin/sagco-pdfscan,11,INGEST_SIGNAL,BASE= $(basename  $PDF  .pdf | tr ' ' '_') ,2026-06-04T20:33:48Z
