brick,name,sources,timestamp
001,STATE_MESH,POSIX_sh;JSON_state_files;CSV_audit_log;iSH_Alpine,2026-06-04T21:24:41Z
002,WAFER_ERU,Si-14_periodic_table;Excel_cell_variance;ERU_expected_reality_unit;awk_float_math,2026-06-04T21:24:41Z
003,SHARED_STATE_READER,JSON_single_source_truth;grep_csv_history;POSIX_sh_state_mesh,2026-06-04T21:24:41Z
004,ERU_AGGREGATOR,awk_single_pass_stats;min_max_avg;health_scoring_pct;ERU_variance_loop,2026-06-04T21:24:41Z
005,HALLUCHECK,Jaccard_similarity;comm_set_math;BLEU_score_concept;term_overlap_detection,2026-06-04T21:24:41Z
006,CELLRULE,Excel_cell_rules;EQ_LTE_GTE_DELTA;ERU_variance_log;spreadsheet_audit,2026-06-04T21:24:41Z
007,REGISTRY,command_registry_CSV;POSIX_path_check;agent_fleet_manifest,2026-06-04T21:24:41Z
008,GIDRA,grep_signal_classifier;RUNTIME_ERU_EVIDENCE_INGEST;regex_pattern_scoring,2026-06-04T21:24:41Z
009,PORTFOLIO_GENERATE,case_study_markdown;evidence_chain;fuzz_hit_aggregation;hallucheck_integration,2026-06-04T21:24:42Z
010,RUN_ALPHA,pipeline_orchestrator;POSIX_sh_trap;EXIT_code_logging;gmail_antibody_flag,2026-06-04T21:24:42Z
011,HEALTH_CHECK,10_node_organ_check;executable_test;runtime_log_tail;state_JSON_append,2026-06-04T21:24:42Z
012,DEPS_GRAPH,dependency_CSV;ASCII_tree_render;orphan_detection;OK_vs_MISSING_status,2026-06-04T21:24:42Z
013,GOVERNANCE_INGEST,SHA256_chain_of_custody;evidence_register;content_addressed_hash,2026-06-04T21:24:42Z
014,REPO_MAP,repo_registry_CSV;REPO_SIGNAL_CAPTURED;multi_lang_note_log,2026-06-04T21:24:42Z
015,PUBLIC_CHECK,curl_HTTP_probe;PUBLIC_OK_vs_BROKEN;link_antibody_node,2026-06-04T21:24:42Z
016,GMAIL_ANTIBODY,runaway_PID_kill;disk_space_guard;log_quarantine_500_lines,2026-06-04T21:24:42Z
017,PDF_FORENSICS,pdfinfo;pdftotext;sha256_evidence;metadata_extraction,2026-06-04T21:24:42Z
018,SCHEDULER,cron_POSIX;timestamp_delta;interval_enforcement;agent_loop,2026-06-04T21:24:42Z
034,PUBLIC_BUILD,dark_theme_HTML;7_section_proof_page;GitHub_Pages_deploy;offline_first,2026-06-04T21:24:42Z
035,CALL_GUARDIAN,CaseGuard;Microsoft_Presidio;Google_Cloud_DLP;spam_call_patterns;toll_free_risk_scoring,2026-06-04T21:24:42Z
040,PAGES_PACK,GitHub_Pages;deploy_package;README_auto_generate;DEPLOY_NODE,2026-06-04T21:24:42Z
041,PUBLIC_VERIFY,ERU_7_checks;GREEN_pass_fail;verify_eru_CSV;VERIFY_NODE,2026-06-04T21:24:42Z
042,REDACT_NODE,NIST_PII_standards;sed_regex_redaction;gonitro;CaseGuard;Microsoft_Presidio;SHA256_pre_post_hash;hallucheck_substance_verify,2026-06-04T21:24:42Z
043,LINEAGE_READER,Wing_D;citation_registry;prior_art_tracing;memory_library,2026-06-04T21:24:42Z
ARCH_001,SOVEREIGNTY_ARCHITECTURE,Discord;Kubernetes;GitLens;OpenTelemetry;VectorDB;HMAC_gateway;Java21;RBAC,2026-06-04T21:39:46Z
compute_law,SAGCO_MIDI_generates_audible_events_from_runtime_logs,SAGCO_Compute_Law_XIII;hash_c3b2c966b27d5c4b;exit_0_verified,2026-06-05T00:34:12Z
compute_law,constitution_12_commandments_upheld,SAGCO_Compute_Law_XIII;hash_14c02072d437cab2;exit_0_verified,2026-06-05T00:34:19Z
compute_law,sagco-pro-review_binary_exists,SAGCO_Compute_Law_XIII;hash_a474f42ba1d8a003;exit_0_verified,2026-06-05T00:34:19Z
compute_law,chapter_one_library_file_exists,SAGCO_Compute_Law_XIII;hash_7facd2dda32b2c9b;exit_0_verified,2026-06-05T00:34:19Z
compute_law,evolution_ledger_produces_key_and_mood,SAGCO_Compute_Law_XIII;hash_c3def40bed7a3ade;exit_0_verified,2026-06-05T00:34:19Z
compute_law,Claim_1_Translation_Engine_queryable_registry_11_terms,SAGCO_Compute_Law_XIII;hash_ac11c48c21469210;exit_0_verified,2026-06-05T00:45:08Z
compute_law,Claim_2_Adaptation_Lineage_CAER_weights_and_CURRENT_KEY,SAGCO_Compute_Law_XIII;hash_152f60d90c5a3560;exit_0_verified,2026-06-05T00:45:08Z
compute_law,Claim_3_MIDI_sonification_daemon_telemetry_to_musical_events,SAGCO_Compute_Law_XIII;hash_6ae46a6db7b6bb34;exit_0_verified,2026-06-05T00:45:08Z
compute_law,Claim_4_cross_device_evidence_transport_LAN_translation,SAGCO_Compute_Law_XIII;hash_c9bf5912f18e365c;exit_0_verified,2026-06-05T00:45:08Z
compute_law,INV-008_survival_rule_itself_computes,SAGCO_Compute_Law_XIII;hash_f3b2f872ceeb7569;exit_0_verified,2026-06-05T00:48:19Z
